result,table,_start,_stop,_time,_value,_field,_measurement,host,sensor_id,topic
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-16 11:15:00+00:00,24.8,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:10:00+00:00,24.85714285714286,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:15:00+00:00,24.94666666666666,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:20:00+00:00,24.91999999999999,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:25:00+00:00,24.724137931034484,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:30:00+00:00,23.949999999999985,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:35:00+00:00,23.97037037037038,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:40:00+00:00,24.42142857142857,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:45:00+00:00,24.36206896551725,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:50:00+00:00,24.043333333333337,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 02:55:00+00:00,23.899999999999988,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:00:00+00:00,23.85999999999999,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:05:00+00:00,23.85666666666666,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:10:00+00:00,23.799999999999994,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:15:00+00:00,23.799999999999994,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:20:00+00:00,23.82333333333333,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:25:00+00:00,23.868965517241374,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:30:00+00:00,23.82758620689655,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
mean,0,1970-01-01 00:00:00+00:00,2025-10-22 07:48:40.671758+00:00,2025-10-17 03:35:00+00:00,23.823333333333323,temp,cucumber,f199a2094793,60:55:F9:EC:C3:D6,cucumber/sensors/60:55:F9:EC:C3:D6
